age,work_industry,job_title,annual_salary,currency,country,state_(US),city,overall_work_exp.,fieldwork _exp.,level_of_education,gender,race
25-34,Accounting/Banking/Finance,Client Services Coordinator,47840.0,USD,USA,Florida,Sarasota ,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Social Work,EAP counselor,70000.0,USD,USA,California,Orange,11 - 20 years,2 - 4 years,Master's degree,Woman,White
45-54,Accounting/Banking/Finance,Director of Financial Planner ,90000.0,USD,USA,Maryland,Silver Spring ,21 - 30 years,8 - 10 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Project Engineer,88000.0,USD,USA,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Computing/IT/Tech,Data Analyst,90000.0,USD,USA,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education,Residential Life Faculty,43000.0,USD,USA,New York,Albany,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Computing/IT/Tech,Workplace Operations Lead,88000.0,USD,USA,California,San Francisco,21 - 30 years,11 - 20 years,College degree,Non-binary,White
35-44,Engineering/Manufacturing/Construction,Environmental Coordinator,150000.0,USD,USA,Texas,Houston,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofits,Executive Director ,136000.0,USD,USA,Texas,Austin,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Agriculture/Forestry,Turnip farmer,500000.0,USD,USA,Hawaii,Prefer not to say,8 - 10 years,2 - 4 years,PhD,Non-binary,Native American or Alaska Native
25-34,Medical/Health Care,Grants Administrator ,85000.0,USD,USA,Massachusetts,Boston,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Graphic Designer,76500.0,USD,USA,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Business/Consulting/Administrative Work,"Supervisor, Communications",105000.0,USD,USA,California,Sacramento,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Computing/IT/Tech,"Director, Cloud Solutions",165000.0,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Education,6th grade teacher,58000.0,USD,USA,California,Daly City ,5 - 7 years,2 - 4 years,Master's degree,Non-binary,White
55-64,Accounting/Banking/Finance,Corporate Secretary ,60000.0,USD,USA,Minnesota,Blaine,31 - 40 years,31 - 40 years,College degree,Woman,White
45-54,Utilities/Telecommunications,Program manager,100000.0,USD,USA,Oregon,Portland,21 - 30 years,11 - 20 years,Master's degree,Man,White
35-44,Accounting/Banking/Finance,Tax Administrator,79600.0,USD,USA,Texas,Houston,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Government/Public Administration,Attorney,107500.0,USD,USA,Texas,Austin,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Medical/Health Care,Pharmacy Supervisor ,164000.0,USD,USA,Minnesota,Minneapolis ,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
18-24,Nonprofits,Education and Outreach Coordinator,16000.0,USD,USA,California,South Lake Tahoe,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education,Associate Tutor,50000.0,USD,USA,Ohio,Beachwood,8 - 10 years,5 - 7 years,College degree,Man,White
35-44,Education,assistant professor,84500.0,USD,USA,Connecticut,,5 - 7 years,5 - 7 years,PhD,Woman,White
25-34,Nonprofits,Development Coordinator,50000.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Medical/Health Care,instructor of medicine,100000.0,USD,USA,New York,New York City,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
35-44,Medical/Health Care,Director of Agency Services,93000.0,USD,USA,Maryland,Annapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Education,Teacher - high school,60000.0,USD,USA,Texas,Houston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Others/Not Correctly Specified,Payroll Administration,45000.0,USD,USA,Washington,Seattle,5 - 7 years,2 - 4 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,Relationship Manager,85000.0,USD,USA,Washington,Seattle,11 - 20 years,2 - 4 years,Master's degree,Woman,White
55-64,Accounting/Banking/Finance,Corporate Secretary ,60000.0,USD,USA,Minnesota,Blaine,31 - 40 years,31 - 40 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Senior Associate,153000.0,USD,USA,California,San Jose,5 - 7 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
35-44,Engineering/Manufacturing/Construction,CFO,200000.0,USD,USA,Rhode Island,Providence,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Medical/Health Care,Certified Coder,43000.0,USD,USA,Missouri,Springfield ,21 - 30 years,8 - 10 years,College degree,Woman,White
25-34,Others/Not Correctly Specified,Operations Manager,50000.0,USD,USA,Minnesota,Rochester,8 - 10 years,2 - 4 years,College degree,Woman,White
35-44,Government/Public Administration,GIS Coordinator,78000.0,USD,USA,Washington,Puyallup,8 - 10 years,2 - 4 years,College degree,Man,White
25-34,Biotechnology/Pharma/Biology,VP of Research & Development,80000.0,USD,USA,Vermont,Burlington,2 - 4 years,2 - 4 years,PhD,Woman,White
35-44,Engineering/Manufacturing/Construction,Software Engineer,115000.0,USD,USA,Illinois,Waukegan,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Marketing & Admissions Coordinator,49500.0,USD,USA,Colorado,Denver,5 - 7 years,5 - 7 years,Master's degree,Woman,White
35-44,Nonprofits,Finance Director,70000.0,USD,USA,Oregon,Portland,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Art/Design/Media,Senior strategist,85000.0,USD,USA,California,Berkeley,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,Research Coordinator,43000.0,USD,USA,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master's degree,Woman,White
55-64,Utilities/Telecommunications,Billing Operations Manager,110000.0,USD,USA,Florida,Orlando,41 years or more,31 - 40 years,College degree,Woman,White
25-34,Computing/IT/Tech,Operations Manager ,50000.0,USD,USA,Massachusetts,"Cambridge, MA",5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Computing/IT/Tech,Software Engineer,145000.0,USD,USA,Oregon,Portland,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,"Teacher-Public School, Suburb",96000.0,USD,USA,Massachusetts,Burlington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Nonprofits,Assistant director ,37000.0,USD,USA,New Jersey,Vernon,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Academic Advisor,51000.0,USD,USA,Oregon,Corvallis,5 - 7 years,8 - 10 years,Master's degree,Woman,White
35-44,Social Work,Outreach specialist,51251.0,USD,USA,California,San Jose,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Education,High school teacher,72000.0,USD,USA,Georgia,Woodstock,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
18-24,Nonprofits,Program Associate,53400.0,USD,USA,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,College degree,Non-binary,Asian or Asian American
45-54,Government/Public Administration,Water resources director,165000.0,USD,USA,California,Fresno,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Medical/Health Care,Account Executive,70000.0,USD,USA,New York,New York City,5 - 7 years,2 - 4 years,College degree,Woman,Black or African American
25-34,Medical/Health Care,Scientific Director,115000.0,USD,USA,Tennessee,Nashville,5 - 7 years,5 - 7 years,PhD,Man,White
35-44,Engineering/Manufacturing/Construction,Programmer,62400.0,USD,USA,California,Altadena,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Art/Design/Media,Production Manager,58500.0,USD,USA,Massachusetts,Boston,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Nonprofits,Senior Director,90000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,Master's degree,Woman,White
55-64,Law,Paralegal Specialist,130000.0,USD,USA,District of Columbia,District of Columbia,31 - 40 years,31 - 40 years,College degree,Woman,White
35-44,Medical/Health Care,Assistant Nurse Manager,95000.0,USD,USA,North Carolina,Durham,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Engineering/Manufacturing/Construction,Product Manager,150000.0,USD,USA,California,remote,11 - 20 years,5 - 7 years,Master's degree,Woman,White
25-34,Nonprofits,Administrative coordinator ,38000.0,USD,USA,Oregon,Portland,5 - 7 years,1 year or less,High School,Woman,White
25-34,Business/Consulting/Administrative Work,Growth marketing manager,120000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Computing/IT/Tech,Web Developer,90000.0,USD,USA,Florida,Sarasota,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Business/Consulting/Administrative Work,Benefits Operations Analyst,66500.0,USD,USA,New York,New York City,8 - 10 years,5 - 7 years,College degree,Woman,Black or African American
35-44,Nonprofits,Director of Communications,67000.0,USD,USA,Connecticut,New Haven,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Government/Public Administration,HR Analyst,86000.0,USD,USA,California,San Francisco,11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Education,Study Abroad Advisor,46000.0,USD,USA,Pennsylvania,Bethlehem,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Utilities/Telecommunications,Clean Energy Product Development,117700.0,USD,USA,Virginia,Arlington,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Government/Public Administration,Youth Services Librarian,45000.0,USD,USA,Georgia,Alpharetta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Computing/IT/Tech,Sr Software Engineer,166000.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Education,High School American History & Literature Teacher,55000.0,USD,USA,Texas,Houston,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Others/Not Correctly Specified,Children’s Ministry Director ,42000.0,USD,USA,Florida,Orlando,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Law,Attorney,305000.0,USD,USA,California,Los Angeles,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman,White
55-64,Accounting/Banking/Finance,Administrative Assistant,41000.0,USD,USA,More than one State,Louisville,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Business/Consulting/Administrative Work,Marketing Project Manager ,48000.0,USD,USA,Oregon,Salem,11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,HR Business Partner ,110000.0,USD,USA,Florida,Tampa,8 - 10 years,5 - 7 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
25-34,Engineering/Manufacturing/Construction,Systems Engineer,117000.0,USD,USA,California,Palmdale,11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
45-54,Government/Public Administration,Regulatory Board Administrator 2,33000.0,USD,USA,Tennessee,Nashville ,31 - 40 years,8 - 10 years,College degree,Woman,White
45-54,Education,Professor,110000.0,USD,USA,Washington,Bellingham,21 - 30 years,21 - 30 years,PhD,Woman,Asian or Asian American
45-54,Insurance,Head of HR,150000.0,USD,USA,,confidential,21 - 30 years,21 - 30 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Business/Consulting/Administrative Work,Management Consultant,176000.0,USD,USA,Washington,Seattle,11 - 20 years,5 - 7 years,Master's degree,Woman,White
55-64,Education,Associate Director ,121000.0,USD,USA,New York,New York City,21 - 30 years,21 - 30 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Education,Hillel director ,57000.0,USD,USA,Pennsylvania,Lancaster ,5 - 7 years,5 - 7 years,Master's degree,Woman,White
35-44,Leisure/Sport/Tourism,Controller,82000.0,USD,USA,Missouri,Saint Louis,11 - 20 years,8 - 10 years,College degree,Woman,Black or African American
35-44,Business/Consulting/Administrative Work,Lead Management Analyst,100000.0,USD,USA,District of Columbia,DC,11 - 20 years,11 - 20 years,Master's degree,Man,White
45-54,Nonprofits,Marketing Specialist,58000.0,USD,USA,New Jersey,NY Suburb,11 - 20 years,5 - 7 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Tax Manager,98000.0,USD,USA,Georgia,Atlanta,5 - 7 years,5 - 7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
18-24,Social Work,Case Planner in Children’s Welfare,39000.0,USD,USA,New York,New York City,2 - 4 years,1 year or less,College degree,Woman,White
55-64,Education,Associate Director ,121000.0,USD,USA,New York,New York City,21 - 30 years,21 - 30 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Accounting/Banking/Finance,Sales Strategy Analyst,65000.0,USD,USA,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Nonprofits,Events Specialist,80000.0,USD,USA,New Jersey,Newark,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Government/Public Administration,Assistant Director Special Projects,97000.0,USD,USA,Arkansas,Little Rock,21 - 30 years,11 - 20 years,College degree,Woman,White
55-64,Government/Public Administration,Executive and HR Assistant,44450.0,USD,USA,Illinois,Wheeling,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,Veterinary Diagnostic Microbiologist,44000.0,USD,USA,Colorado,Fort Collins,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Retail, CAP team,34320.0,USD,USA,Montana,Declined ,8 - 10 years,5 - 7 years,High School,Woman,White
35-44,Nonprofits,Director,135000.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,5 - 7 years,PhD,Woman,White
35-44,Computing/IT/Tech,Email Deliverability Consultant,115000.0,USD,USA,Washington,Vancouver,11 - 20 years,5 - 7 years,High School,Other or prefer not to answer,White
35-44,Education,Director ,100000.0,USD,USA,Maryland,"Washington, DC",11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Education,Operations Director,53000.0,USD,USA,Florida,Orlando ,11 - 20 years,5 - 7 years,Master's degree,Man,White
25-34,Medical/Health Care,Help Desk Technician,45000.0,USD,USA,Minnesota,Eagan,8 - 10 years,1 year or less,College degree,Woman,White
25-34,Computing/IT/Tech,Senior Program Manager,174000.0,USD,USA,Washington,Seattle,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Computing/IT/Tech,Sr. Software Engineer,204000.0,USD,USA,California,San Francisco,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Computing/IT/Tech,Technical Writer,116000.0,USD,USA,Washington,Redmond,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Government/Public Administration,Special Security Officer,66805.0,USD,USA,South Dakota,Rapid City,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Law,Managing Attorney - State Government,180000.0,USD,USA,California,Sacramento,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man,White
25-34,Computing/IT/Tech,Senior executive assistant ,90000.0,USD,USA,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Controller,41000.0,USD,USA,Arizona,Phoenix,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Data Analyst,90000.0,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Retail,Director of Staff Experience,123000.0,USD,USA,Oregon,Portland,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Nonprofits,Research Associate,77000.0,USD,USA,Pennsylvania,Philadelphia ,8 - 10 years,8 - 10 years,Master's degree,Woman,White
45-54,Transport/Logistics,Sr. Recruiting is ,103000.0,USD,USA,North Carolina,Remote,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Research Scientist/Engineer,75000.0,USD,USA,Washington,Seattle,2 - 4 years,2 - 4 years,PhD,Woman,White
35-44,Government/Public Administration,HR Analyst,56160.0,USD,USA,Pennsylvania,Harrisburg,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Teacher,50000.0,USD,USA,Vermont,I don’t live in a city; I am VERY rural,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,Art teacher,43800.0,USD,USA,Ohio,Columbus,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Business/Consulting/Administrative Work,Senior Account Manager,72000.0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Computing/IT/Tech,IT support assistant,45000.0,USD,USA,Utah,Salt Lake City,5 - 7 years,1 year or less,College degree,Woman,White
25-34,Insurance,Underwriting Manager,111000.0,USD,USA,California,Sacramento,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Government/Public Administration,Lead Systems Engineer,120000.0,USD,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,Master's degree,Man,White
35-44,Medical/Health Care,Registered Nurse,70000.0,USD,USA,Virginia,Norfolk,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Education,Data Analyst,85000.0,USD,USA,California,Palo Alto,8 - 10 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Art/Design/Media,Director of Product Design & Development ,150000.0,USD,USA,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Medical/Health Care,Project Manager,76000.0,USD,USA,Oregon,Portland,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Global Data Team Leader,82500.0,USD,USA,Texas,Austin,8 - 10 years,2 - 4 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,Customer service supervisor,40000.0,USD,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Non-binary,White
35-44,Engineering/Manufacturing/Construction,Procurement Manager,135000.0,USD,USA,New York,Capital Region,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Hospitality/Events/Entertainment,Theatrical Lighting Designer,36000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Architect,121129.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Nonprofits,Executive Director,130000.0,USD,USA,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Biotechnology/Pharma/Biology,Publications Associate Director ,175000.0,USD,USA,Massachusetts,Boston,8 - 10 years,5 - 7 years,PhD,Woman,White
35-44,Accounting/Banking/Finance,VP Finance,125000.0,USD,USA,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Nonprofits,Development & Communications Officer,64000.0,USD,USA,California,Oakland,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Education,Associate professor ,94500.0,USD,USA,Illinois,Chicago,21 - 30 years,11 - 20 years,PhD,Woman,White
45-54,Government/Public Administration,Environmental Protection Specialist ,105500.0,USD,USA,Pennsylvania,Harrisburg ,31 - 40 years,31 - 40 years,PhD,Woman,White
25-34,Education,Assistant Professor,63000.0,USD,USA,Massachusetts,Fitchburg,1 year or less,1 year or less,PhD,Woman,White
35-44,Business/Consulting/Administrative Work,Pursuits Manager,116000.0,USD,USA,District of Columbia,"Washington, DC",21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Education,Middle school teacher,45250.0,USD,USA,Maine,Maine,8 - 10 years,1 year or less,Master's degree,Woman,White
35-44,Art/Design/Media,"Managing Editor, trade publication",65000.0,USD,USA,New Hampshire,,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Sales,Regional Manager ,120000.0,USD,USA,More than one State,Los Angeles,11 - 20 years,8 - 10 years,High School,Woman,White
25-34,Business/Consulting/Administrative Work,Digital Marketing Manager,70000.0,USD,USA,Kansas,Leawood,8 - 10 years,5 - 7 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Computing/IT/Tech,"Sr Manager, Growth Strategy",140000.0,USD,USA,New Hampshire,Nashua,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Retail,Store Manager,45500.0,USD,USA,Kansas,Wichita,11 - 20 years,5 - 7 years,College degree,Woman,White
45-54,Medical/Health Care,Hospice volunteer coordinator,39000.0,USD,USA,Pennsylvania,Monongahela,11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Medical/Health Care,Physical Therapist,80000.0,USD,USA,Virginia,Blacksburg,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Others/Not Correctly Specified,Senior Marketing Manager ,111000.0,USD,USA,District of Columbia,"Washington, DC",21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Architect,121129.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Business/Consulting/Administrative Work,VP Marketing,168000.0,USD,USA,Colorado,Boulder,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Landscape Architect,96000.0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,Employee Benefits Director,80000.0,USD,USA,Indiana,Indianapolis ,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Education,Sustainability Information Curator/Strategic Communications Coordinator,63319.0,USD,USA,Illinois,Champaign,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Operations Manager,105000.0,USD,USA,Minnesota,Minneapolis,5 - 7 years,5 - 7 years,College degree,Woman,Another option not listed here or prefer not to answer
55-64,Computing/IT/Tech,Information Support,90351.0,USD,USA,Washington,Issaquah,31 - 40 years,21 - 30 years,College degree,Man,White
25-34,Law,Law clerk,106000.0,USD,USA,New York,New York City,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Medical/Health Care,Certified Registered Nurse Anesthetist ,165000.0,USD,USA,Pennsylvania,Philadelphia,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Government/Public Administration,Office Assistant,30000.0,USD,USA,Alaska,Anchorage,5 - 7 years,5 - 7 years,Master's degree,Woman,White
35-44,Retail,inventory manager,83000.0,USD,USA,Massachusetts,Quincy,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Art/Design/Media,Project Director ,80000.0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Law,Immigration Paralegal,66000.0,USD,USA,More than one State,DC,5 - 7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Non-binary,White
25-34,Nonprofits,Communications Manager,74000.0,USD,USA,Massachusetts,Worcester,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Executive Assistant,60000.0,USD,USA,Pennsylvania,Philadelphia,5 - 7 years,1 year or less,Master's degree,Non-binary,White
45-54,Medical/Health Care,Licensing Coordinator,41000.0,USD,USA,Ohio,Dublin,21 - 30 years,11 - 20 years,College degree,Woman,White
55-64,Accounting/Banking/Finance,Credit Manager,32000.0,USD,USA,Tennessee,Memphis,31 - 40 years,21 - 30 years,College degree,Woman,White
35-44,Transport/Logistics,Team lead training compliance,90000.0,USD,USA,Texas,Dallas,21 - 30 years,11 - 20 years,College degree,Woman,White
45-54,Utilities/Telecommunications,Leadership Development Consultant ,105000.0,USD,USA,North Carolina,Charlotte ,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Retail,Assistant Store Manager,55000.0,USD,USA,Minnesota,Maplewood ,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Government/Public Administration,Director,92580.0,USD,USA,Louisiana,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Woman,White
18-24,Medical/Health Care,EMT,33800.0,USD,USA,Illinois,Chicago,2 - 4 years,2 - 4 years,High School,Woman,White
35-44,Education,Assessment Coordinator/Analyst,49275.0,USD,USA,Texas,Houston,5 - 7 years,5 - 7 years,Master's degree,Non-binary,White
55-64,Education,Teacher,94000.0,USD,USA,New Hampshire,Tilton,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Medical/Health Care,"Senior Manager, Medical Affairs",130000.0,USD,USA,California,San Diego,5 - 7 years,5 - 7 years,PhD,Woman,White
35-44,Computing/IT/Tech,Staff Software Engineer,230000.0,USD,USA,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Engineering/Manufacturing/Construction,Total Rewards Manager,105000.0,USD,USA,Oregon,Portland,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Staff Accountant 1,78560.0,USD,USA,Georgia,Athens,5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Systems Analyst,120000.0,USD,USA,New York,New York City,8 - 10 years,5 - 7 years,College degree,Man,White
35-44,Education,School library media specialist ,65000.0,USD,USA,Pennsylvania,Camp hill ,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Medical/Health Care,Compliance Coordinator,48000.0,USD,USA,More than one State,Variety,11 - 20 years,2 - 4 years,College degree,Woman,White
45-54,,Customer Service analyst ,67000.0,USD,USA,Florida,Orlando ,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Senior Accountant,110000.0,USD,USA,New York,New York City,2 - 4 years,2 - 4 years,Master's degree,Man,White
35-44,Hospitality/Events/Entertainment,Office Administrator,52000.0,USD,USA,Michigan,Lansing,11 - 20 years,5 - 7 years,Master's degree,Woman,White
45-54,Law,Supervising Attorney,106000.0,USD,USA,California,Sacramento,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Education,IT End User Services Technician,54000.0,USD,USA,Wisconsin,Madison,5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Retail,Operations Manager,66000.0,USD,USA,Missouri,Kansas City,5 - 7 years,5 - 7 years,High School,Woman,White
25-34,Nonprofits,Staff Accountant and Records Manager,52000.0,USD,USA,Massachusetts,Boston,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Content Strategist ,55000.0,USD,USA,Arizona,Phoenix,2 - 4 years,2 - 4 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,SVP & Private Banker,195000.0,USD,USA,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,financial advisor,100000.0,USD,USA,Oregon,portland,11 - 20 years,11 - 20 years,College degree,Man,White
45-54,Engineering/Manufacturing/Construction,Chemical Technician II ,54000.0,USD,USA,California,Los Angeles,11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Project Manager,80000.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Sales,Sales Operations Business Process Manager ,96000.0,USD,USA,Washington,Vancouver ,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Business Intelligence Developer,84000.0,USD,USA,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Business/Consulting/Administrative Work,Visual Information Specialist,30160.0,USD,USA,,Okinawa,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Government/Public Administration,Epidemiologist,112000.0,USD,USA,California,San Mateo,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
45-54,Nonprofits,Volunteer Manager,36000.0,USD,USA,New York,New York City,11 - 20 years,1 year or less,Master's degree,Woman,Asian or Asian American
25-34,Business/Consulting/Administrative Work,Technical services librarian,57985.0,USD,USA,Texas,Duncanville,8 - 10 years,8 - 10 years,Master's degree,Woman,White
